us_category_num,us_category_desc,uk_category_code,uk_category_name,score
9602,Human milk,US9602,Human milk,1.0
9602,Human milk,19NMLK,Nut milks,0.632
9602,Human milk,US1902,Plant-based milk,0.538
9602,Human milk,MTPS,Meat pies,0.421
9602,Human milk,US8010,Mayonnaise,0.4
1004,"Milk, reduced fat",US1004,"Milk, reduced fat",1.0
1004,"Milk, reduced fat",US1204,"Flavored milk, reduced fat",0.791
1004,"Milk, reduced fat",US1008,"Milk, nonfat",0.621
1004,"Milk, reduced fat",US1006,"Milk, lowfat",0.621
1004,"Milk, reduced fat",MILK,Milk & cream,0.552
1002,"Milk, whole",US1002,"Milk, whole",1.0
1002,"Milk, whole",US1202,"Flavored milk, whole",0.71
1002,"Milk, whole",US1008,"Milk, nonfat",0.609
1002,"Milk, whole",US1006,"Milk, lowfat",0.609
1002,"Milk, whole",SHKS,Milkshakes,0.571
1006,"Milk, lowfat",US1006,"Milk, lowfat",1.0
1006,"Milk, lowfat",US1008,"Milk, nonfat",0.833
1006,"Milk, lowfat",US1206,"Flavored milk, lowfat",0.727
1006,"Milk, lowfat",US1004,"Milk, reduced fat",0.621
1006,"Milk, lowfat",US1002,"Milk, whole",0.609
1008,"Milk, nonfat",US1008,"Milk, nonfat",1.0
1008,"Milk, nonfat",US1006,"Milk, lowfat",0.833
1008,"Milk, nonfat",US1208,"Flavored milk, nonfat",0.727
1008,"Milk, nonfat",US1004,"Milk, reduced fat",0.621
1008,"Milk, nonfat",MCRL,Milk on cereal,0.615
1202,"Flavored milk, whole",US1202,"Flavored milk, whole",1.0
1202,"Flavored milk, whole",US1208,"Flavored milk, nonfat",0.78
1202,"Flavored milk, whole",US1206,"Flavored milk, lowfat",0.78
1202,"Flavored milk, whole",US1002,"Milk, whole",0.71
1202,"Flavored milk, whole",US1204,"Flavored milk, reduced fat",0.696
1902,Plant-based milk,US1902,Plant-based milk,1.0
1902,Plant-based milk,US1904,Plant-based yogurt,0.706
1902,Plant-based milk,23BBCER,Bran-based cereals,0.588
1902,Plant-based milk,19NMLK,Nut milks,0.56
1902,Plant-based milk,US9602,Human milk,0.538
1820,"Yogurt, regular",US1820,"Yogurt, regular",1.0
1820,"Yogurt, regular",US1822,"Yogurt, Greek",0.714
1820,"Yogurt, regular",YOGU,Yoghurt,0.545
1820,"Yogurt, regular",FTBD,Fruit bread,0.462
1820,"Yogurt, regular",US4202,Yeast breads,0.444
1822,"Yogurt, Greek",US1822,"Yogurt, Greek",1.0
1822,"Yogurt, Greek",US1820,"Yogurt, regular",0.714
1822,"Yogurt, Greek",YOGU,Yoghurt,0.6
1822,"Yogurt, Greek",COUR,Courgette,0.455
1822,"Yogurt, Greek",US3806,"Soups, cream-based",0.452
8412,"Dips, gravies, other sauces",US8412,"Dips, gravies, other sauces",1.0
8412,"Dips, gravies, other sauces",CHIP,"Chips, fries & wedges",0.542
8412,"Dips, gravies, other sauces",22VEGO,"Vegetables, other",0.5
8412,"Dips, gravies, other sauces",CHDH,Dishes with cheese,0.489
8412,"Dips, gravies, other sauces",US5004,"Tortilla, corn, other chips",0.481
5802,Ice cream and frozen dairy desserts,US5802,Ice cream and frozen dairy desserts,1.0
5802,Ice cream and frozen dairy desserts,ICED,Ice cream desserts,0.679
5802,Ice cream and frozen dairy desserts,IWFR,Ice cream toppings and wafers,0.562
5802,Ice cream and frozen dairy desserts,LOLS,Ice cream lollies,0.538
5802,Ice cream and frozen dairy desserts,ICEC,Ice cream & sorbet,0.528
9007,Baby food: mixtures,US9007,Baby food: mixtures,1.0
9007,Baby food: mixtures,US9002,Baby food: cereals,0.757
9007,Baby food: mixtures,US9004,Baby food: fruit,0.743
9007,Baby food: mixtures,US9010,Baby food: yogurt,0.722
9007,Baby food: mixtures,US9006,Baby food: vegetables,0.7
9010,Baby food: yogurt,US9010,Baby food: yogurt,1.0
9010,Baby food: yogurt,US9004,Baby food: fruit,0.788
9010,Baby food: yogurt,US9007,Baby food: mixtures,0.722
9010,Baby food: yogurt,US9002,Baby food: cereals,0.686
9010,Baby food: yogurt,US9006,Baby food: vegetables,0.684
1206,"Flavored milk, lowfat",US1206,"Flavored milk, lowfat",1.0
1206,"Flavored milk, lowfat",US1208,"Flavored milk, nonfat",0.905
1206,"Flavored milk, lowfat",US1202,"Flavored milk, whole",0.78
1206,"Flavored milk, lowfat",US1204,"Flavored milk, reduced fat",0.766
1206,"Flavored milk, lowfat",US1006,"Milk, lowfat",0.727
1204,"Flavored milk, reduced fat",US1204,"Flavored milk, reduced fat",1.0
1204,"Flavored milk, reduced fat",US1004,"Milk, reduced fat",0.791
1204,"Flavored milk, reduced fat",US1208,"Flavored milk, nonfat",0.766
1204,"Flavored milk, reduced fat",US1206,"Flavored milk, lowfat",0.766
1204,"Flavored milk, reduced fat",US1202,"Flavored milk, whole",0.696
1208,"Flavored milk, nonfat",US1208,"Flavored milk, nonfat",1.0
1208,"Flavored milk, nonfat",US1206,"Flavored milk, lowfat",0.905
1208,"Flavored milk, nonfat",US1202,"Flavored milk, whole",0.78
1208,"Flavored milk, nonfat",US1204,"Flavored milk, reduced fat",0.766
1208,"Flavored milk, nonfat",US1008,"Milk, nonfat",0.727
1402,Milk shakes and other dairy drinks,US1402,Milk shakes and other dairy drinks,1.0
1402,Milk shakes and other dairy drinks,US7220,Smoothies and grain drinks,0.633
1402,Milk shakes and other dairy drinks,MDNK,Milk as a drink,0.612
1402,Milk shakes and other dairy drinks,MHDK,Milk in a hot drink,0.604
1402,Milk shakes and other dairy drinks,US7106,Other diet drinks,0.588
7220,Smoothies and grain drinks,US7220,Smoothies and grain drinks,1.0
7220,Smoothies and grain drinks,US7206,Sport and energy drinks,0.653
7220,Smoothies and grain drinks,US1402,Milk shakes and other dairy drinks,0.633
7220,Smoothies and grain drinks,OTDR,Other drinks,0.632
7220,Smoothies and grain drinks,US7104,Diet sport and energy drinks,0.593
9404,"Formula, prepared from powder",US9404,"Formula, prepared from powder",1.0
9404,"Formula, prepared from powder",US9402,"Formula, ready-to-feed",0.549
9404,"Formula, prepared from powder",US9802,Protein and nutritional powders,0.5
9404,"Formula, prepared from powder",US7802,Flavored or carbonated water,0.456
9404,"Formula, prepared from powder",SYPR,Protein Powders,0.455
9402,"Formula, ready-to-feed",US9402,"Formula, ready-to-feed",1.0
